Tournament,First_Edition,Last_Edition,City,Venue,Latitude,Longitude
Australian Hardcourt Championships,1938,2008,Various,Various,NA,NA
Gold Flake Open,1996,2001,Chennai,SDAT Tennis Stadium,13.0550°N,80.2575°E
Qatar Open,1993,Ongoing,Doha,Khalifa International Tennis and Squash Complex,25.3120°N,51.5145°E
Heineken Open,1956,2016,Auckland,ASB Tennis Centre,36.8541°S,174.7730°E
Sydney International,1885,2019,Sydney,NSW Tennis Centre,33.8498°S,151.0672°E
Australian Open,1905,Ongoing,Melbourne,Melbourne Park,37.8215°S,144.9780°E
Dubai Open,1993,Ongoing,Dubai,Dubai Duty Free Tennis Stadium,25.2340°N,55.3370°E
Marseille Open,1993,Ongoing,Marseille,Palais des Sports,43.2700°N,5.4010°E
Sybase Open,1889,2013,San Jose,SAP Center,37.3328°N,121.9000°W
Kroger St. Jude,1976,2017,Memphis,Racquet Club of Memphis,35.1253°N,89.8650°W
ABN AMRO World Tennis Tournament,1974,Ongoing,Rotterdam,Rotterdam Ahoy,51.8827°N,4.4860°E
AXA Cup,1996,2000,London,London Arena,51.5074°N,0.0200°W
Mexican Open,1993,Ongoing,Acapulco,Fairmont Acapulco Princess,16.7938°N,99.8237°W
Copenhagen Open,1973,2003,Copenhagen,K.B. Hallen,55.6829°N,12.5253°E
Citrix Tennis Championships,1993,2008,Delray Beach,Delray Beach Tennis Center,26.4615°N,80.0731°W
Chevrolet Cup,1993,2000,Santiago,Club de Tenis Providencia,33.4378°S,70.6505°W
Colombia Open,1994,2001,Bogota,Club Campestre El Rancho,4.7109°N,74.0721°W
Franklin Templeton Tennis Classic,1986,2005,Scottsdale,Scottsdale Tennis Center,33.4942°N,111.9261°W
Indian Wells TMS,1974,Ongoing,Indians Wells,Indian Wells Tennis Garden,33.7238°N,116.3049°W
Ericsson Open,1985,2019,Miami,Tennis Center at Crandon Park,25.6930°N,80.1625°W
Galleryfurniture.com Tennis Challenge,1986,2001,Atlanta,Atlanta Athletic Club,33.9690°N,84.2720°W
Grand Prix Hassan II,1984,Ongoing,Marrakech,Royal Tennis Club de Marrakech,31.6295°N,7.9811°W
Estoril Open,1990,Ongoing,Cascais,Clube de Ténis do Estoril,38.7054°N,9.3977°W
Monte Carlo Masters,1897,Ongoing,Roquebrune-Cap-Martin,Monte Carlo Country Club,43.7510°N,7.4390°E
Open Seat Godo,1953,Ongoing,Barcelona,Real Club de Tenis Barcelona,41.3974°N,2.1162°E
Mallorca Open,1998,2002,Mallorca,Santa Ponsa Tennis Club,39.5236°N,2.5176°E
BMW Open,1974,Ongoing,Munich,MTTC Iphitos,48.1803°N,11.5706°E
U.S. Clay Court Championships,1910,Ongoing,Houston,River Oaks Country Club,29.7480°N,95.4342°W
Rome TMS,1930,Ongoing,Rome,Foro Italico,41.9332°N,12.4544°E
Hamburg TMS,1892,Ongoing,Hamburg,Am Rothenbaum,53.5833°N,9.9833°E
Internationaler Raiffeisen Grand Prix,1981,2005,Various,Various,NA,NA
French Open,1891,Ongoing,Paris,Stade Roland Garros,48.8470°N,2.2497°E
Gerry Weber Open,1993,Ongoing,Halle,Gerry Weber Stadion,52.0635°N,8.3375°E
Stella Artois,1979,2008,London,Queen's Club,51.4901°N,0.2102°W
Nottingham Open,1995,Ongoing,Nottingham,Nottingham Tennis Centre,52.9399°N,1.1950°W
Heineken Trophy,1990,2004,Rosmalen,Autotron,51.6996°N,5.3724°E
Wimbledon,1877,Ongoing,London,All England Lawn Tennis and Croquet Club,51.4344°N,0.2140°W
Swedish Open,1948,Ongoing,Båstad,Båstad Tennis Stadium,56.4280°N,12.8330°E
Gstaad Open,1915,Ongoing,Gstaad,Roy Emerson Arena,46.4720°N,7.2866°E
Hall of Fame Championships,1976,Ongoing,Newport,International Tennis Hall of Fame,41.4822°N,71.3113°W
Dutch Open,1957,2008,Amersfoort,Sportpark Bokkeduinen,52.1560°N,5.3878°E
Mercedes Cup,1978,Ongoing,Stuttgart,Tennis Club Weissenhof,48.8000°N,9.1833°E
Croatia Open,1990,Ongoing,Umag,International Tennis Center,45.4333°N,13.5167°E
Generali Open,1945,Ongoing,Kitzbühel,Tennis Stadium Kitzbühel,47.4466°N,12.3921°E
Mercedes-Benz Cup,1927,2012,Los Angeles,Los Angeles Tennis Center,34.0689°N,118.4452°W
Tennis Int'l of San Marino,1988,2014,City of San Marino,Centro Tennis Cassa di Risparmio,43.9333°N,12.4500°E
Toronto TMS,1881,Ongoing,Toronto,Aviva Centre,43.7744°N,79.4942°W
Cincinnati TMS,1899,Ongoing,Mason,Lindner Family Tennis Center,39.2906°N,84.3136°W
RCA Championships,1921,2009,Indianapolis,Indianapolis Tennis Center,39.7684°N,86.1581°W
Legg Mason Classic,1969,2011,"Washington, D.C.",William H.G. FitzGerald Tennis Center,38.9476°N,77.0190°W
The Hamlet Cup,1981,2004,Commack,Hamlet Golf and Country Club,40.8420°N,73.2929°W
US Open,1881,Ongoing,New York City,USTA Billie Jean King National Tennis Center,40.7498°N,73.8472°W
Open Romania,1993,2016,Bucharest,Arenele BNR,44.4350°N,26.0700°E
President's Cup,1997,Ongoing,Nur-Sultan,National Tennis Centre,51.1694°N,71.4491°E
Campionati Internazionali Di Sicilia,1935,2006,Palermo,Circolo Tennis Palermo,38.1157°N,13.3615°E
Salem Open,1990,2002,Hong Kong,Victoria Park,22.2783°N,114.1733°E
Japan Open,1972,Ongoing,Tokyo,Ariake Coliseum,35.6340°N,139.7941°E
CA Tennis Trophy,1974,2014,Vienna,Wiener Stadthalle,48.2030°N,16.3210°E
Heineken Open Shanghai,1996,2004,Shanghai,Shanghai International Tennis Center,31.2304°N,121.4737°E
adidas Open,1993,2008,Sydney,Sydney Olympic Park,-33.8587°S,151.2135°E
Swiss Indoors,1970,Ongoing,Basel,St. Jakobshalle,47.5405°N,7.6140°E
Kremlin Cup,1990,Ongoing,Moscow,Olympic Stadium,55.7811°N,37.6266°E
Stuttgart TMS,1916,Ongoing,Stuttgart,Tennis Club Weissenhof,48.7960°N,9.1690°E
Grand Prix de Lyon,1987,2009,Lyon,Palais des Sports de Gerland,45.7256°N,4.8314°E
St. Petersburg Open,1995,Ongoing,St. Petersburg,Sibur Arena,59.9727°N,30.2216°E
BNP Paribas,1974,Ongoing,Indian Wells,Indian Wells Tennis Garden,33.7238°N,116.3049°W
Samsung Open,2001,2002,Beijing,Beijing Tennis Center,39.9042°N,116.4074°E
Stockholm Open,1969,Ongoing,Stockholm,Royal Tennis Hall,59.3450°N,18.0840°E
Masters Cup,1970,2008,Various,Various,NA,NA
AAPT Championships,1972,2004,Adelaide,Memorial Drive Park,34.9205°S,138.5999°E
TATA Open,1996,Ongoing,Pune,Mhalunge Balewadi Tennis Complex,18.5642°N,73.7726°E
adidas International,1993,2007,Sydney,Sydney Olympic Park,-33.8587°S,151.2135°E
Milan Indoors,1978,2005,Milan,PalaLido,45.4781°N,9.1569°E
Bellsouth Open,1993,2003,Atlanta,Atlanta Athletic Club,33.9690°N,84.2783°W
Copa AT&T,1993,2012,Buenos Aires,Buenos Aires Lawn Tennis Club,34.5889°S,58.4306°W
Abierto Mexicano,1993,Ongoing,Acapulco,Fairmont Acapulco Princess,16.8269°N,99.8237°W
Dubai Championships,1993,Ongoing,Dubai,Aviation Club Tennis Centre,25.2528°N,55.3322°E
Verizon Tennis Challenge,1985,2001,Atlanta,Atlanta Athletic Club,33.9690°N,84.2783°W
U.S. Men's Clay Court Championships,1910,Ongoing,Houston,River Oaks Country Club,29.7480°N,95.4342°W
Idea Prokom Open,2001,2007,Sopot,Sopot Tennis Club,54.4418°N,18.5603°E
Montreal TMS,1881,Ongoing,Montreal,IGA Stadium,45.5161°N,73.6492°W
Hamlet Cup,1990,2004,Commack,Hamlet Golf and Country Club,40.8420°N,73.2929°W
Gelsor Open,1993,2012,Bucharest,Arenele BNR,44.4350°N,26.0700°E
Brasil Open,2001,2019,São Paulo,Esporte Clube Pinheiros,23.5733°S,46.6612°W
Pacific Life Open,1974,Ongoing,Indian Wells,Indian Wells Tennis Garden,33.7238°N,116.3049°W
NASDAQ-100 Open,1985,Ongoing,Miami,Hard Rock Stadium,25.9580°N,80.2389°W
Queens Club,1890,Ongoing,London,Queen's Club,51.4901°N,0.2102°W
Ordina Open,1990,2009,Rosmalen,Autotron,51.6996°N,5.3724°E
Energis Open,1995,2004,Amsterdam,Amsterdam RAI,52.3400°N,4.8952°E
TD Waterhouse Cup,1990,2000,Toronto,National Tennis Centre,43.7767°N,79.5083°W
Madrid Masters,2002,Ongoing,Madrid,Caja Mágica,40.4138°N,3.7184°W
Qatar Exxon Mobil Open,1993,Ongoing,Doha,Khalifa International Tennis and Squash Complex,25.276987°N,51.520008°E
Breil ATP,1993,1993,Milan,PalaLido,45.4781°N,9.1569°E
Open 13,1993,Ongoing,Marseille,Palais des Sports de Marseille,43.2965°N,5.3698°E
Siebel Open,1993,2003,San Jose,San Jose State University Tennis Courts,37.3352°N,121.8817°W
International Championships,1993,1993,San Francisco,San Francisco Tennis Club,37.7749°N,122.4194°W
CAM Open Comunidad Valenciana,1993,2008,Valencia,Ciudad de las Artes y las Ciencias,39.4699°N,0.3763°W
Telecom Italia Masters Roma,1990,2007,Rome,Foro Italico,41.9333°N,12.4667°E
Allianz Suisse Open,1993,2008,Gstaad,Roy Emerson Arena,46.4650°N,7.2900°E
Priority Telecom Dutch Open,1990,2009,Rosmalen,Autotron,51.6996°N,5.3724°E
Western & Southern Financial Group Masters,1899,Ongoing,Cincinnati,Lindner Family Tennis Center,39.2636°N,84.3560°W
Thailand Open,1990,Ongoing,Hua Hin,True Arena Hua Hin,12.5720°N,99.9570°E
Open de Moselle,2003,Ongoing,Metz,Arènes de Metz,49.1193°N,6.1757°E
Indesit ATP Milano Indoor ,1990,2008,Milan,PalaLido,45.4781°N,9.1569°E
ATP Buenos Aires 2004,2004,2004,Buenos Aires,Buenos Aires Lawn Tennis Club,34.5889°S,58.4306°W
China Open,1993,Ongoing,Beijing,National Tennis Center,39.9042°N,116.4074°E
Next Generation Hardcourts,1993,1993,Adelaide,Memorial Drive Park,34.9205°S,138.5999°E
Medibank International,1972,2007,Sydney,Sydney Olympic Park,-33.8587°S,151.2135°E
Internazionali di Lombardia,1993,2008,Milan,PalaLido,45.4781°N,9.1569°E
ATP Buenos Aires 2005,2005,2005,Buenos Aires,Buenos Aires Lawn Tennis Club,34.5889°S,58.4306°W
SAP Open,1889,2013,San Jose,San Jose State University Tennis Courts,37.3352°N,121.8817°W
Regions Morgan Keegan Championships,1970,2012,Memphis,Racquet Club of Memphis,35.1495°N,90.0490°W
Dubai Duty Free Men's Open,1993,Ongoing,Dubai,Aviation Club Tennis Centre,25.2528°N,55.3322°E
Channel Open,1993,1993,San Francisco,San Francisco Tennis Club,37.7749°N,122.4194°W
Open de Tenis Comunidad Valenciana,1993,2008,Valencia,Ciudad de las Artes y las Ciencias,39.4699°N,0.3763°W
Rogers Cup,1881,Ongoing,Toronto/Montreal,National Tennis Centre / IGA Stadium,43.7767°N,79.5083°W
Pilot Pen Tennis,1990,2008,New Haven,Connecticut Tennis Center,41.3083°N,72.9279°W
Vietnam Open,1996,1996,Ho Chi Minh City,Phu Tho Stadium,10.8231°N,106.6297°E
BA-CA Tennis Trophy,1993,2008,Vienna,Wiener Stadthalle,48.2082°N,16.3705°E
Davidoff Swiss Indoors,1970,Ongoing,Basel,St. Jakobshalle,47.5405°N,7.6140°E
Next Generation Adelaide International,1993,1993,Adelaide,Memorial Drive Park,34.9205°S,138.5999°E
Chennai Open,1996,Ongoing,Chennai,SDAT Nungambakkam Tennis Stadium,13.0878°N,80.2785°E
Movistar Open,1993,Ongoing,Santiago,Club Deportivo Universidad Católica,-33.4372°S,-70.6506°W
